cluster_id,mean_FLA,mean_flowrate,mean_condensing_delta_t,mean_chilled_delta_t,predicted_initial_small_delta_t,predicted_initial_power,cluster_size
1,51.12105263157895,437.42690526315783,-1.8526315789473686,2.7736842105263153,6.085057662928557,1724.1136333916477,19
2,48.025000000000006,394.44085,-1.6124999999999998,2.7,5.6712258083095755,1661.3601715439515,4
3,59.391071428571436,464.9140285714285,-1.8821428571428567,2.576785714285715,6.624597292856896,2005.0698369225956,28
4,56.42857142857143,432.92892380952384,-1.6952380952380952,2.626190476190476,6.0101723736083486,1914.0304820373553,21
5,53.349999999999994,418.1134,-1.6500000000000004,2.3500000000000005,5.881795179563839,1798.4340744553074,1
6,47.9,410.24305,-1.8250000000000002,2.45,5.806254401135163,1629.3623371835424,2
7,52.61785714285714,523.6080071428572,-1.889285714285714,2.45,6.402306240067457,1785.2219201240314,14
8,51.68846153846154,465.0518615384616,-2.0961538461538463,2.5249999999999995,6.613455299486079,1766.63929957167,26
9,60.487168141592925,452.4483557522124,-1.8309734513274334,2.818141592920354,6.614177211356353,2030.4873590601578,113
10,58.25438596491228,427.8650982456141,-1.7377192982456142,2.790350877192983,6.224962513417981,1960.7013988528,57
11,58.66896551724139,432.71771379310354,-1.936206896551724,2.7620689655172415,6.578800452237378,1974.3614467816105,29
12,59.503333333333345,409.86593666666676,-1.9433333333333331,3.0416666666666665,6.6528253108209565,1994.180279467239,30
13,58.61724137931035,421.8196379310345,-1.8327586206896558,2.9206896551724144,6.459628293676752,1973.9095216495514,29
14,59.83658536585365,422.7204756097561,-2.051219512195122,2.919512195121951,6.7718023262466005,2014.9143593050835,41
15,53.07142857142857,377.6372285714286,-1.5285714285714285,2.7428571428571433,5.846219230439991,1778.8033348101658,7
16,51.055263157894736,333.98591052631576,-1.4368421052631581,2.8894736842105258,5.525398633629385,1678.9778752967013,19
18,48.86666666666667,333.425,-1.333333333333334,2.6166666666666667,5.3473531151910905,1619.0067145747535,3
19,49.14166666666667,288.8261833333333,-1.3583333333333334,2.9416666666666664,5.469856405085893,1618.1106217813185,6
20,47.92,330.80154,-1.6500000000000004,2.9299999999999997,5.564540075551043,1585.4255722781893,5
21,50.400000000000006,298.5822,-1.8000000000000007,3.0999999999999996,5.831022218000158,1610.945109984566,1
22,54.246875,363.3129,-1.7124999999999992,2.953125,6.09183088099666,1836.612185264594,16
23,53.462500000000006,380.87264166666665,-1.7916666666666667,3.0416666666666665,6.1626964337243795,1801.1311731090384,12
24,53.791666666666664,377.2653833333333,-1.7645833333333332,2.922916666666667,6.159503172222646,1830.5519241916568,24
25,78.875,527.6837499999999,-2.875,3.15,9.020920143299769,2599.5557845679655,2
26,79.19772727272726,587.706490909091,-2.8727272727272717,3.0045454545454544,9.324709904095092,2644.808894043441,22
27,81.26666666666667,607.1662666666666,-3.4500000000000015,3.0,9.753599620375141,2745.862113019983,3
28,80.32916666666665,615.1186416666666,-2.804166666666666,2.920833333333334,9.432984228773407,2660.949045823917,12
29,82.075,579.3740166666666,-2.9166666666666665,2.8166666666666664,9.354115149829196,2727.228708368942,6
30,83.05000000000001,580.1324,-2.9125000000000005,2.9749999999999996,9.340947582239416,2720.1117565585564,4
31,71.25555555555556,606.7199185185185,-2.9981481481481485,2.792592592592592,8.866391428610713,2384.5500000936013,27
32,70.7265625,599.4393781250001,-2.8703125,2.8765625,8.862371691816488,2392.8031597572844,32
33,69.85217391304347,603.9333043478262,-2.615217391304348,2.7804347826086953,8.236549200016825,2346.5098707872153,23
34,67.17168674698796,572.1783,-2.4138554216867467,2.847590361445783,7.91460653889546,2277.8447852836366,83
35,74.255,602.9933500000001,-2.4924999999999997,2.9575,8.36553449925277,2482.4873750128195,20
36,68.39328358208954,572.3124820895524,-2.704477611940299,2.945522388059701,8.52404457698387,2316.2420833868046,67
37,67.42826086956522,561.1916260869565,-2.4842391304347826,2.9739130434782597,8.081314530205164,2278.2598048677332,92
40,75.01752577319589,535.5731309278351,-2.555154639175257,2.8159793814432987,8.493473360093983,2497.8520261503227,97
41,71.94125,561.6923424999999,-2.50875,2.78625,8.24771895526717,2390.62150805586,40
42,71.4075,522.329077142857,-2.4914285714285715,2.8014285714285716,8.17791798944093,2380.8024166701543,140
43,72.34590163934428,518.1864786885245,-2.518032786885245,2.9336065573770496,8.283517987453896,2409.3661894257457,61
44,70.57016806722689,531.6282285714285,-2.444117647058823,2.8533613445378156,8.158394318166453,2366.169564429048,119
45,73.75625000000001,545.8429833333333,-2.179166666666666,2.9000000000000004,7.784168412292885,2442.6932273745074,24
47,78.53461538461539,581.4236076923078,-2.284615384615385,2.9384615384615382,8.22301565399656,2604.3074803474697,13
48,77.96621621621621,581.9421,-2.2986486486486486,2.7864864864864862,8.185258627324094,2597.007974973469,37
49,68.52242990654206,486.981468224299,-2.413084112149533,3.0542056074766357,7.948038318047277,2292.767130400226,107
51,70.70828571428572,514.5465462857143,-2.4442857142857144,2.9594285714285715,8.119165769305528,2365.4167678156487,175
53,77.00921052631578,541.4374657894735,-2.6934210526315794,2.9434210526315794,8.799146722285123,2551.795139280606,38
54,73.31464646464647,534.2461101010101,-2.5772727272727267,2.9530303030303027,8.326692254930233,2437.489068067092,99
55,73.6108695652174,578.5470782608696,-2.323913043478261,2.6695652173913045,8.000039462714543,2455.952786438749,23
56,72.04666666666665,555.7137333333333,-2.5122222222222224,2.6511111111111116,8.181667893284711,2403.6220015403273,45
58,70.57187499999999,573.9682875,-2.521875,2.53125,7.991691436506139,2350.4826778332376,16
60,64.275,638.6068,-2.7250000000000005,2.775,8.429551025340514,2178.299642011989,2
61,63.2801886792453,586.9922698113207,-2.676415094339623,2.716037735849056,8.191660638224517,2126.771780552634,53
62,66.80149253731344,612.8169910447763,-2.7686567164179103,2.6492537313432836,8.534650368036734,2234.7583028888293,67
63,63.40394736842105,593.1450263157896,-2.577631578947369,2.606578947368421,7.959346855295016,2141.0437638201633,38
64,61.55102040816327,561.4565591836736,-2.246938775510204,2.6255102040816327,7.237658288331743,2085.550075189566,49
65,64.12285714285714,572.8435000000001,-2.315714285714286,2.6971428571428575,7.513852191709065,2160.2017083557726,35
66,61.17986111111111,550.9430111111111,-2.156944444444444,2.7166666666666663,7.115064310714373,2069.8651592918,72
68,60.08170731707317,553.325431707317,-2.526829268292683,2.675609756097561,7.90490568874886,2050.2872236473263,41
69,61.257594936708855,533.8713810126582,-2.4025316455696206,2.745569620253164,7.7662797694318755,2083.210812997566,79
70,64.11874999999999,453.3763625,-2.1750000000000007,3.125,7.210752022184622,2134.513154459845,8
71,66.25,469.36164461538465,-2.283076923076923,2.9569230769230765,7.62269978368862,2223.0018183086163,65
72,66.4625,466.08886875,-2.2218750000000007,2.9593749999999996,7.501378942472939,2225.5049608056624,16
74,63.933177570093456,484.97019813084114,-2.1299065420560748,2.9621495327102796,7.148173984182465,2143.0048947740106,107
75,61.99000000000001,465.82756000000006,-1.7300000000000004,2.9799999999999995,6.490564688903561,2087.8274581442415,5
76,63.81538461538461,453.94629743589746,-1.9371794871794874,2.965384615384616,6.9643215337937585,2127.7872857636594,39
77,66.57692307692308,551.2475512820512,-2.244871794871795,3.042307692307692,7.626866219314115,2244.6206550463617,39
78,64.39019607843137,533.270643137255,-2.16078431372549,2.947058823529412,7.354013434929213,2169.22369424923,51
79,67.216,484.88367999999997,-2.0380000000000007,3.056000000000001,7.204290241870118,2237.8858423888687,25
80,67.98841807909605,511.37537005649716,-2.1711864406779657,2.9412429378531066,7.490611719554443,2277.893318539168,177
81,60.20454545454545,526.3444400000001,-2.257272727272727,2.8409090909090913,7.414330101150354,2059.091668337029,55
82,62.217499999999994,520.9939225,-2.4599999999999995,2.925,7.916089127023204,2105.977720322086,40
83,68.21000000000001,477.92825999999997,-2.72,2.8699999999999997,8.376619941039728,2294.4280314703797,5
84,69.0933962264151,489.1834320754716,-2.397169811320754,2.973584905660377,7.957069342663814,2317.5698835727744,53
85,65.3271653543307,503.145955905512,-2.2763779527559067,2.818503937007874,7.597520113065605,2196.725645388145,127
86,68.57289719626169,509.1996302180686,-2.328971962616822,2.857632398753894,7.853075470468976,2299.380442674844,321
87,68.2359375,515.5707515624999,-2.0218749999999996,2.8156250000000007,7.2457860335922755,2276.9951292915853,64
88,63.16585365853659,482.1441658536586,-1.9585365853658536,2.7542682926829265,6.841845503697861,2123.2782116526137,82
89,64.21346153846153,484.9831923076923,-2.004326923076923,2.839423076923077,7.0751461695890265,2150.593178918587,104
90,63.04126984126984,464.2191214285714,-2.1892857142857154,2.8603174603174617,7.232621999859552,2111.590580741294,126
91,66.66156716417909,487.89872089552244,-2.148134328358209,2.8175373134328363,7.242691963172897,2222.3259696594932,134
92,66.63278688524592,526.6737327868852,-2.154098360655737,2.60327868852459,7.251097711866677,2235.4000722394976,61
93,66.7826530612245,516.8782954081632,-2.196683673469388,2.713520408163265,7.267504956796379,2236.4965093294118,196
94,62.85986842105264,497.4611328947369,-2.0263157894736845,2.640131578947368,6.866950787116647,2114.0645438607353,76
95,62.807638888888896,498.1800972222223,-2.195138888888889,2.732638888888889,7.096442515136738,2109.732307968469,72
97,56.535106382978725,516.7861,-2.182978723404255,2.640425531914894,6.938423176292269,1926.4265293251387,47
99,53.56315789473684,483.8335894736843,-2.086842105263158,2.6710526315789473,6.669382822032665,1820.4224659410188,19
100,60.26851851851851,510.1894777777777,-1.968518518518519,2.8666666666666667,6.860994078402325,2050.560637448918,27
102,57.693333333333335,484.83122,-2.0,2.963333333333333,6.771158599799971,1963.096892915065,15
103,54.7639534883721,467.8408906976744,-2.066279069767442,2.815116279069767,6.814183966587665,1854.5564917055108,43
105,70.30833333333334,762.1142,-2.9583333333333344,2.2499999999999996,8.78454618568464,2339.150067645659,6
106,84.01666666666667,829.3402666666667,-3.4500000000000006,2.3000000000000003,9.722848670508679,2716.5146736510237,3
107,79.85833333333333,802.0809166666667,-3.349999999999999,2.4916666666666667,9.649549840568262,2646.7953719017114,6
108,67.82083333333333,652.62585,-3.0125000000000006,2.5250000000000004,8.522068004621739,2254.526615043633,12
109,65.29545454545455,704.0925787878787,-2.9166666666666665,2.4621212121212124,8.651460522269074,2181.460332776209,33
110,71.07857142857142,690.1799523809524,-2.8095238095238093,2.5547619047619046,8.670210036584525,2370.9706510095302,21
112,80.94999999999999,806.9589,-3.3499999999999996,2.85,9.922714132961813,2686.6914543011408,1
113,84.35,713.2523,-3.450000000000001,2.8000000000000003,9.866734978228596,2745.9061129715537,1
114,74.08055555555555,751.7296611111111,-3.077777777777778,2.5694444444444446,9.027278430432855,2469.657578862569,18
115,76.45,702.1846,-3.799999999999999,2.4999999999999996,9.157481350512459,2513.7021841380847,1
117,64.6,647.8299,-1.6500000000000021,1.65,6.056782270005729,2172.517622829812,1
118,70.15,808.12715,-2.775,2.0375,8.625691736889095,2332.107821456381,4
119,62.33055555555555,737.1776888888888,-2.5694444444444446,2.069444444444444,7.907425217473353,2083.863213233595,18
120,62.01428571428572,533.6216571428571,-1.9071428571428568,2.4357142857142855,6.6811309531787995,2088.970762618365,14
122,58.97500000000001,577.3408499999999,-1.9449999999999992,2.525,6.617166222958887,2011.5994597698361,10
123,55.669230769230765,537.1716923076922,-2.453846153846153,2.496153846153846,7.7030423101434184,1886.576573425559,13
124,54.434375,576.39701875,-2.2874999999999996,2.4375,7.243918743756697,1870.5344001150022,16
125,59.775,579.578975,-1.9375000000000004,2.05,6.58264415009069,2023.7199494246352,4
127,58.05,457.7112,-2.6999999999999993,2.3000000000000007,8.027484912791621,1905.9031140329753,1
128,57.406338028169,618.9429690140845,-2.393661971830986,2.3176056338028173,7.580666936102661,1940.4207158825895,71
129,61.40909090909091,631.1612409090909,-2.5136363636363632,2.356818181818182,7.874218292356917,2053.489430850682,22
131,60.1921052631579,608.633347368421,-2.426315789473684,2.5078947368421054,7.6434452688178585,2051.0184236698865,19
132,65.42058823529412,678.2696588235294,-2.6470588235294117,2.3205882352941174,8.021707691577644,2176.789592365961,17
133,65.80294117647058,648.6979117647059,-2.685294117647059,2.5323529411764705,8.167108347985,2204.966200876457,17
134,69.025,633.3189,-2.2,2.525,7.325587193489637,2291.6401683927397,2
135,70.025,602.4932333333333,-2.3916666666666666,2.4000000000000004,7.870068841521439,2307.9328590838827,6
136,64.31470588235294,622.4971,-2.511764705882353,2.4558823529411766,7.901521652385663,2141.127048208189,17
139,67.68333333333334,622.4697777777777,-2.127777777777778,2.1500000000000004,6.888129038073535,2246.730428074847,9
140,56.82142857142857,689.8871428571429,-2.400000000000001,2.0500000000000003,7.460131571334865,1928.307041694496,7
141,58.7388888888889,664.8276833333334,-2.4138888888888896,2.247222222222222,7.620611488632528,1984.6213888265352,18
142,53.59615384615385,570.9991307692308,-2.238461538461539,2.3000000000000003,7.090358436240732,1840.2842909409292,13
143,55.036458333333336,612.5310375,-2.2895833333333333,2.203125,7.2256542930568495,1888.3651055198507,48
