Timestamp,V-01_averaged,HX1 supply_dt,HX1 lmtd,HX1 primary chw dt,HX1 secondary chw dt,HX1 primary_dp,HX1_running_hour
2023-01-02 08:58:59,32.175925,3.1539339999999996,0.9192598655552571,4.513888,1.475695,12.731440000000006,13.14694444444447
2023-01-02 10:47:04,31.394675,2.6041659999999993,0.7401407246593178,4.398149,1.8807880000000008,13.310100000000006,14.948333333333373
2023-01-02 10:50:03,30.59896,2.5752319999999997,0.7340428297170365,4.513890000000001,2.025462,14.757000000000005,14.998055555555595
2023-01-02 10:53:03,30.873845,2.748842,0.6970017337496089,4.6875,1.9965240000000009,13.59960000000001,15.048055555555596
2023-01-02 15:32:03,30.33854,3.385416,0.8177636797478826,5.324074,1.9965240000000009,12.442099999999996,19.698055555555626
2023-01-02 15:35:01,31.640625,3.385416,0.7048106069311045,5.353008,1.9965240000000009,13.020799999999994,19.74750000000007
2023-01-02 15:50:03,30.33854,3.501157,0.7240137388696949,5.324074,1.851851,13.020799999999994,19.998055555555627
2023-01-02 18:35:03,34.79456,3.8773150000000003,0.9083825258499574,5.2083330000000005,1.3888890000000007,11.57408000000001,22.74805555555566
2023-01-04 21:38:03,31.394675,3.8773139999999993,0.9977065204270418,4.976852,1.1863430000000008,10.416659999999993,54.84777777777766
2023-01-04 21:41:04,34.534145,3.7615739999999995,1.0472831643398122,4.890046,1.2442130000000002,10.41666,54.89805555555544
2023-01-04 21:44:04,37.167245,3.7615739999999995,0.9750198052222325,4.947917,1.2731480000000008,10.41666,54.948055555555435
2023-01-04 21:47:03,36.37153,3.587962,0.8553428960489042,4.832175,1.3020840000000007,10.706020000000002,54.99777777777766
2023-01-05 12:39:01,30.092595,3.993056,0.9294040599561415,6.076386,2.1411999999999995,13.020800000000008,60.986666666666515
2023-01-05 12:42:43,33.492475,4.050926,0.8139296596332789,6.134256,2.1122700000000005,12.44210000000001,61.04833333333318
2023-01-05 12:45:43,34.534145,3.993056,1.0202861058867068,6.134256,2.2280099999999994,13.599499999999992,61.09833333333318
2023-01-05 12:48:42,31.66956,3.8773139999999993,0.997720330290141,6.192125999999999,2.4016219999999997,12.731399999999994,61.1480555555554
2023-01-05 13:21:43,30.33854,3.9351849999999997,0.7951178969511362,6.250000000000001,2.343745,13.310199999999995,61.69833333333318
2023-01-05 13:27:02,31.13426,3.906251,0.9136803793729099,6.307866,2.4594950000000004,14.467600000000004,61.786944444444295
2023-01-05 13:30:43,30.092595,3.819444,0.9863923540343844,6.307866,2.5752319999999997,13.310200000000009,61.84833333333319
2023-01-05 13:33:43,32.175925,3.993056,0.8045068490450686,6.365746000000001,2.4016199999999994,14.46759999999999,61.898333333333184
2023-01-05 13:36:43,32.190395,3.819444,0.9863923540343844,6.307866,2.5752319999999997,14.178200000000004,61.94833333333318
