cluster_id,mean_FLA,mean_flowrate,mean_condensing_delta_t,mean_chilled_delta_t,predicted_initial_small_delta_t,predicted_initial_power,cluster_size
1,56.05,310.24016,3.55,6.840000000000001,1.114909170773236,870.3536744164628,10
2,38.6,289.48206000000005,2.345,6.320000000000001,1.0011866876988933,795.8235876851206,60
3,43.395833333333336,321.0557708333333,1.7833333333333339,4.679166666666666,0.9507305469911146,765.3502753718664,24
6,41.53448275862069,356.19363103448273,1.2689655172413792,3.2103448275862068,0.9507305469911146,765.3502753718664,29
7,60.0,403.47945000000004,2.6499999999999995,4.824999999999999,0.9880511865511624,887.9204796738298,4
8,54.833333333333336,456.12076,3.3666666666666667,5.623333333333331,1.065207464856295,851.8745250122518,30
11,54.94,431.916088,3.528,5.82,1.0492202573643108,853.0783450067617,25
14,54.416666666666664,411.308825,3.324999999999999,6.058333333333334,0.9760946901977416,841.9376483187883,12
15,51.145161290322584,419.16863225806446,3.125806451612903,5.719354838709678,0.9728401822845767,780.3903049289308,31
16,60.0,453.14068333333336,3.5500000000000003,5.7,1.110212114472743,922.467998134223,12
17,62.5,446.06963333333334,3.283333333333333,5.633333333333333,1.0695140326427288,958.779294284955,6
18,44.5,465.9095333333333,2.633333333333333,5.966666666666666,1.090486131986208,774.9674560586145,3
19,56.23529411764706,418.54745882352944,3.2941176470588243,5.829411764705883,1.0098836095617036,861.1950303248735,17
20,52.04545454545455,378.35911818181825,3.1727272727272724,5.854545454545455,0.9680773365497323,807.7297890470023,11
21,51.125,419.0357375,3.4000000000000004,5.0875,1.0153354392898208,798.2620585423197,8
22,57.833333333333336,392.12483333333336,3.900000000000001,5.6000000000000005,1.031075258989021,885.2226412758049,3
24,53.916666666666664,530.7171166666666,2.6166666666666667,3.816666666666667,1.1982769349619682,824.0305032973567,6
26,69.9,554.12328,3.6999999999999984,5.26,1.3652038925224463,1097.9696535858302,5
27,71.7,539.8581999999999,3.379999999999999,4.84,1.2766124064274091,1110.1276444753964,5
29,79.9,588.7037,3.78,5.220000000000001,1.4450404745837249,1267.2059424433953,5
30,74.0,570.2636625,3.962500000000001,5.175,1.3990169537307535,1162.2534895002298,8
31,61.5,528.4215833333333,3.766666666666666,5.449999999999999,1.2789773150152481,955.0605537308082,6
33,58.72222222222222,498.51143333333334,3.5333333333333337,5.611111111111112,1.213530369783301,908.2124677498265,9
35,54.833333333333336,473.247,3.3222222222222215,5.505555555555556,1.1154109444828721,851.372019006544,18
36,55.54545454545455,481.2552545454544,3.6181818181818177,5.381818181818182,1.1467608519683894,864.854945478038,11
37,58.4,468.58218,3.079999999999999,5.34,1.1281035618230106,886.433445130016,5
38,58.0,483.9223571428571,3.242857142857143,4.985714285714286,1.1551813411877214,888.7445084682915,7
39,57.642857142857146,513.9633142857142,2.7714285714285714,4.699999999999998,1.2149570824821203,878.5760559072612,7
40,63.916666666666664,499.8915,3.283333333333333,5.116666666666666,1.220059436116763,987.9513845750373,6
42,55.5,462.81465000000003,3.750000000000001,5.15,1.1094362572379393,865.4179360573414,4
43,59.833333333333336,510.3443333333333,3.7666666666666657,5.0,1.2342952890320988,933.8228490848267,3
46,65.54166666666667,516.3085916666666,3.5750000000000006,5.175,1.26194772566732,1015.10350077643,12
47,69.20454545454545,509.6400363636363,3.7272727272727266,5.3999999999999995,1.2944939147509098,1073.5320268383678,22
48,74.03846153846153,497.7252538461538,3.5153846153846158,5.607692307692308,1.230931328286818,1159.9124836331112,13
49,65.5,485.073075,3.4750000000000014,5.4,1.222884423741554,1008.0623364993569,4
50,73.5,522.8877,3.3000000000000007,6.300000000000001,1.2310950930477846,1147.632013338364,1
52,76.83333333333333,512.291425,3.958333333333332,5.758333333333333,1.3117282432982877,1205.9332394130495,12
53,77.91044776119404,485.1730895522389,4.061194029850746,5.913432835820895,1.32867426708365,1243.7389147393983,67
54,68.1923076923077,493.58195384615385,4.069230769230769,5.773076923076924,1.2798443965219248,1052.4492666903013,26
55,68.6,489.6026266666667,3.646666666666668,6.046666666666669,1.2813691051388436,1059.5671410924274,15
56,76.13003663003663,468.58254029304027,4.012454212454212,6.100366300366301,1.3091530820083872,1205.2710928552235,273
57,73.68181818181819,530.7581090909091,3.9454545454545458,5.454545454545454,1.3504639644567473,1155.3724041979817,11
58,81.28571428571429,551.6637857142857,3.6857142857142864,5.542857142857144,1.3859076129409786,1297.8916150271732,7
59,72.20786516853933,535.7544662921348,4.623595505617978,5.594382022471911,1.364802362850233,1129.725194515817,89
60,73.64285714285714,554.6854428571428,4.285714285714286,5.571428571428571,1.4247615183328768,1153.1653295829897,7
61,72.58720930232558,524.1174744186046,4.438372093023256,5.765116279069767,1.3425073708936033,1136.506712252103,86
62,86.75,515.3863,4.549999999999999,6.1,1.4148716774364023,1375.919059802068,2
63,84.81428571428572,524.0191028571429,4.282857142857143,5.94,1.432961055746776,1352.511397829733,35
64,74.94666666666667,517.9884213333331,4.482666666666667,5.9959999999999996,1.35009174493696,1173.214435805993,75
65,75.0,493.12788333333333,4.383333333333334,5.783333333333334,1.288026059725793,1169.854914538587,6
66,76.95394736842105,503.4108296052632,4.282236842105263,5.988157894736842,1.321516422202003,1205.6911830335287,152
68,78.68181818181819,521.9486545454546,4.009090909090909,6.0181818181818185,1.384186717771343,1241.8683453906453,11
69,78.46666666666667,554.7408755555556,4.493333333333334,6.240000000000001,1.4461941209509384,1226.472346053872,45
71,74.42307692307692,546.6123538461538,4.238461538461538,6.184615384615384,1.3956688815166105,1166.6355246823023,26
72,77.20689655172414,530.1729068965517,4.313793103448276,6.341379310344829,1.3860999339998175,1213.4783551810401,29
74,81.8125,546.3143875000001,4.337499999999999,6.35,1.4635234291941717,1298.927189337806,16
75,62.375,513.603125,4.574999999999999,4.949999999999999,1.207454766209894,977.2344332856954,4
76,62.833333333333336,516.3017666666666,4.266666666666667,5.122222222222223,1.2152865915867028,977.5869058785107,9
78,69.125,578.1033,4.449999999999999,4.875,1.360682697514381,1089.6669822176598,4
79,61.0,551.4178,4.800000000000001,4.700000000000001,1.2584893144125051,951.6792897223255,1
80,58.333333333333336,447.87326666666667,4.333333333333336,5.333333333333333,1.0140822586660572,895.9579207116182,3
81,65.13636363636364,461.24393636363635,3.899999999999999,5.745454545454546,1.1868811833630353,1000.2341060469657,11
82,69.06666666666666,465.7127733333334,4.153333333333332,5.913333333333333,1.2401218340679618,1071.603546930154,15
83,65.725,495.2246135,4.3895,5.7225,1.2282165986956826,1014.874434334584,200
84,65.28125,460.01700625,4.425000000000001,5.83125,1.144030217981882,1012.9797513514907,16
85,69.4,464.25346,5.08,5.78,1.1767960951767795,1079.5164416607302,5
86,69.1981981981982,493.28078468468465,4.707207207207208,5.9765765765765755,1.2625252948954198,1076.6199464352196,111
89,65.4375,410.24305000000004,4.387499999999999,6.45,1.1243405488057394,1007.5793492809386,8
90,73.25,365.35735000000005,4.525000000000002,6.675,1.3259153395112937,1136.526280475736,4
93,67.0,378.02375,3.9749999999999996,7.1499999999999995,1.2305901303855622,1047.6541266667155,4
95,78.1,430.97164999999995,4.139999999999999,7.231999999999999,1.3779174178035827,1229.4303509149518,50
97,70.78571428571429,438.37387922077926,4.174025974025973,7.2922077922077895,1.3037230613358208,1126.9636051093514,77
99,74.1875,406.46157500000004,4.175000000000001,7.125,1.3519706996659773,1165.0537329965562,8
100,74.14583333333333,428.25114375,4.434375,7.182291666666667,1.3587255687056226,1174.2686434457075,96
101,76.01785714285714,419.89656428571425,4.3428571428571425,7.485714285714286,1.3559201340408447,1196.2810565685586,28
102,79.375,420.41920625,4.237500000000001,7.3625,1.3821075075887144,1252.2252497047384,16
104,71.48550724637681,413.76832463768113,3.8391304347826085,6.934782608695651,1.293297497966673,1124.7780410908538,69
105,71.80927835051547,428.46864845360824,3.949484536082474,6.863917525773195,1.3114534438033194,1130.894302788414,97
106,73.21195652173913,438.8800804347827,4.306521739130435,7.077173913043478,1.355254740088766,1153.4551249989256,92
109,69.74226804123711,446.98075154639173,4.239175257731959,6.931958762886596,1.250998736617491,1083.5980265853646,97
111,60.41538461538462,427.79247999999995,4.650769230769231,6.527692307692307,1.0849947378902813,936.9161073888113,65
113,66.03968253968254,438.06263333333334,4.855555555555553,6.563492063492065,1.1423913555152587,1020.962170922631,63
114,68.87704918032787,458.99339180327866,4.51639344262295,6.775409836065575,1.2959293181388452,1087.378604704601,61
116,67.17021276595744,445.8376404255319,4.319148936170214,6.859574468085104,1.2210068518579729,1041.1879090525051,47
117,75.75824175824175,459.21395054945054,4.535164835164836,6.904395604395604,1.3736107024126392,1191.5018641916658,91
118,73.78301886792453,450.00559339622646,4.385849056603773,6.9301886792452825,1.365249483165552,1146.4195339204155,106
119,73.41111111111111,445.84008888888883,4.2,6.671111111111111,1.353505663386565,1147.6495147536434,45
120,71.06060606060606,441.5792075757575,4.212121212121211,6.845454545454545,1.299470388933394,1099.4679000772808,66
122,66.16666666666667,424.856525,4.0666666666666655,6.983333333333333,1.25158844136867,1032.7519182400013,12
123,67.66666666666667,431.10773333333333,4.033333333333332,6.833333333333333,1.2606093498945645,1052.0932016060597,6
124,64.88311688311688,439.56849090909094,4.2389610389610395,6.649350649350651,1.2001639239339357,1003.8805184204816,77
126,68.84677419354838,452.6177048387097,4.274999999999999,6.683870967741936,1.2777827012086393,1072.0302371829398,124
127,73.43478260869566,451.52329565217394,4.02608695652174,6.637681159420294,1.3433877427798935,1159.390060617046,69
128,72.73584905660377,453.28878490566035,4.20566037735849,6.8094339622641495,1.332842763921581,1133.7824985378718,53
129,67.08383233532935,454.4446706586827,4.177245508982036,6.523353293413174,1.246918909512641,1035.184814133779,167
130,69.59714285714286,466.53728171428577,4.246857142857142,6.550285714285716,1.2910186353492428,1078.4644588935332,175
131,56.75714285714286,418.9918171428571,3.5285714285714285,6.320000000000001,1.0931709833725463,886.446100945609,35
132,59.12068965517241,430.9367068965517,3.786206896551723,6.2758620689655205,1.1074646364694156,908.4156808448174,29
133,67.71428571428571,440.0614428571429,3.652380952380952,6.242857142857143,1.1968757239012482,1042.8908099706412,21
134,68.62162162162163,433.5018702702704,3.751351351351351,6.494594594594594,1.2330147709480619,1054.52243379685,37
137,72.14583333333333,426.24683194444447,3.818055555555555,6.694444444444445,1.310124818671997,1134.3135727113465,72
138,71.43125,436.90085500000004,3.9425000000000003,6.676250000000001,1.2911016348680293,1107.7871370424527,80
140,69.23170731707317,444.55594146341457,3.914634146341463,6.729268292682926,1.2687238374846261,1071.2534613150603,41
141,68.47169811320755,421.6727283018867,3.8679245283018875,6.737735849056604,1.2669675009999435,1053.6220508677507,53
142,70.22222222222223,422.3355555555556,3.6833333333333322,6.7250000000000005,1.2722987855046575,1085.6322248411204,36
143,66.0,407.8450625,3.3749999999999996,6.700000000000001,1.1268278872169395,1026.803846119335,8
146,51.0,388.5995,3.6999999999999993,6.7,1.1008853335062472,804.2371173994334,1
147,60.5,384.66436666666664,3.9333333333333336,7.166666666666667,1.1596538687279627,951.5302748596092,3
150,60.5,396.37154,4.22,6.6,1.0688137902842132,929.8589294635822,5
152,60.3671875,443.71518906250003,4.0421875,6.31875,1.1457629738117223,932.2903965465443,64
153,59.827586206896555,423.59639310344824,4.094827586206896,6.517241379310345,1.1429499171286572,922.8820817024223,58
154,60.6375,429.58695,3.8599999999999994,6.5200000000000005,1.1560118103174455,930.66699733463,40
155,63.725352112676056,433.4904464788733,3.9887323943661945,6.5718309859154935,1.1757004918806402,972.0675220193118,71
157,49.4375,396.71586249999996,3.9499999999999993,5.875,1.0029329325521614,797.4809891176637,8
159,52.77272727272727,409.7511636363637,4.363636363636365,6.009090909090909,0.916779883748888,834.0205851394927,11
161,57.25,451.8904166666667,4.750000000000001,5.983333333333333,1.0082444948210705,881.0184940607625,6
163,65.3,421.48292499999997,4.784999999999999,6.220000000000001,1.078634723897555,1015.6608619071181,20
164,61.339622641509436,412.7071849056604,4.813207547169812,6.130188679245284,0.992957722799735,951.4239120181348,53
165,55.77777777777778,412.67522222222226,4.7333333333333325,6.211111111111111,0.9525927987818859,866.1192904011587,9
167,73.078125,444.9141875,3.7624999999999997,6.525,1.2929395177381913,1147.1211952464068,32
168,70.875,449.16450555555554,3.7194444444444437,6.330555555555557,1.258773122900285,1103.2425481594303,36
169,71.65079365079364,444.64469523809515,3.8412698412698427,6.420634920634921,1.264602384407292,1112.3151692273498,63
170,79.56944444444444,466.3740972222222,4.1,6.48888888888889,1.3607339819017024,1267.4117001279374,36
171,76.5,449.34018928571425,3.982142857142857,6.503571428571427,1.3072887188279394,1216.8700623747618,28
172,74.36725663716814,462.4800292035398,4.207964601769912,6.588495575221238,1.333509062799098,1175.891593837745,113
173,71.57608695652173,456.43335760869564,4.004347826086957,6.4543478260869565,1.3037196190352052,1116.4366051649067,92
