Timestamp,NS Substation HX Primary Control Valve 1A4 V-01 Position,HX1 supply_dt,HX1 lmtd,HX1 primary chw dt,HX1 secondary chw dt,HX1 primary_dp,HX1_running_hour
2023-01-03 12:05:03,30.12153,2.546296,,3.1828700000000003,0.6076389999999998,10.127399999999994,0.0
2023-01-03 12:26:24,30.12153,2.3148150000000003,0.6785659353451301,3.0960650000000003,0.868055,10.12730000000002,0.0
2023-01-03 13:26:03,30.49768,2.34375,0.7406589405194137,2.8067129999999993,0.5787040000000001,10.41670000000002,0.0
2023-01-03 13:28:20,32.43634,2.3148149999999994,0.734071475686587,2.8067129999999993,0.6076390000000007,10.416600000000017,0.03805555555555556
2023-01-03 13:28:23,32.43634,2.3148149999999994,0.6785680115460884,2.8067129999999993,0.5787040000000001,10.995400000000018,0.03888888888888889
2023-01-03 13:32:03,33.96991,2.3148149999999994,0.7827141446155755,2.8935189999999995,0.7233800000000006,10.12730000000002,0.1
2023-01-03 13:35:03,40.56713,2.4884259999999996,0.8238419732864779,3.645834,1.3020840000000007,10.416699999999992,0.15000000000000002
2023-01-03 13:38:05,37.06597,2.256945,0.6660789817167035,3.4722220000000004,1.3020829999999997,11.284700000000015,0.20055555555555557
2023-01-03 13:41:02,31.65509,2.228009,0.6598088529621116,3.327546,1.1863419999999998,10.706000000000017,0.24972222222222223
2023-01-03 13:44:03,30.09259,2.256945,0.6660769335406052,3.240741,1.070601,10.127299999999991,0.3
2023-01-03 13:47:03,33.96991,2.4016200000000003,0.753784713429977,3.1539349999999997,0.8680559999999993,10.705999999999989,0.35
2023-01-03 13:50:03,30.12153,2.228009,0.7142071457060738,3.009259,0.8969909999999999,10.416699999999992,0.39999999999999997
2023-01-03 13:59:04,33.18866,2.256945,0.6002577080627539,3.038195,0.8391199999999994,10.12730000000002,0.39999999999999997
2023-01-03 14:11:05,33.21759,2.4016200000000003,0.6290793177685674,3.0960650000000003,0.7523149999999994,10.127300000000005,0.39999999999999997
2023-01-03 14:35:02,30.49768,2.4016199999999994,0.6290793177685696,2.9803239999999995,0.6365740000000004,10.416599999999988,0.39999999999999997
2023-01-03 14:47:04,30.12153,2.34375,0.6175898296933673,2.9803239999999995,0.6944439999999998,10.127299999999991,0.39999999999999997
2023-01-03 14:59:03,30.12153,2.4016200000000003,0.6971886255547702,2.951389,0.6365749999999997,9.837999999999994,0.39999999999999997
2023-01-03 15:23:03,30.12153,2.4016200000000003,0.6971886255547702,2.951389,0.6365749999999997,10.416699999999992,0.39999999999999997
2023-01-03 15:35:03,30.49768,2.430555,0.7033663654636135,2.951389,0.60764,9.548699999999997,0.39999999999999997
2023-01-03 15:38:03,31.65509,2.3726849999999997,0.6909964790731997,2.8645829999999997,0.5787040000000001,10.416699999999992,0.39999999999999997
2023-01-03 15:41:03,30.87384,2.1990749999999997,0.7549375714649215,2.835648,0.78125,10.995299999999986,0.39999999999999997
2023-01-03 15:44:03,30.49768,2.3148150000000003,0.6785680115460885,2.951389,0.7233799999999997,9.837999999999994,0.39999999999999997
2023-01-03 15:47:03,30.49768,2.2858799999999997,0.6060510011757233,2.9803240000000004,0.7523150000000003,10.127399999999994,0.39999999999999997
2023-01-03 16:02:03,32.8125,2.4016200000000003,0.753784713429977,3.4432869999999998,1.1574079999999993,10.705999999999989,0.39999999999999997
