start_date,current_date,running_hour,valve_value,HX2_lmtd_cumulative_change,HX2_primary_dp_cumulative_change,HX2_return_dt_cumulative_change,HX2_secondary_dp_cumulative_change,HX2_supply_dt_cumulative_change
2023-09-11 09:42:00,2025-09-27 05:21:00,,,,,,,
,,6071.2155555555555,54.18595533333333,0.0,0.0,0.0,0.0,0.0
,,6071.265555555556,88.95640333333334,2.691757842294949e-06,1.297277714964253e-05,5.460738609641154e-06,2.548976255544396e-05,9.298747977985187e-07
,,6071.315555555556,82.90895,5.383515684589898e-06,2.594555429928506e-05,1.0921477219282308e-05,5.097952511088792e-05,1.8597495955970375e-06
,,6071.365555555555,82.91859666666666,8.075273526835885e-06,3.8918331448691615e-05,1.6382215828824132e-05,7.646928766586822e-05,2.7896243933786417e-06
,,6071.415555555555,77.35339333333333,1.0839790055511453e-05,4.261527733472263e-05,2.3074429658543996e-05,0.00011469741657505412,3.2524023025969415e-06
,,6071.4655555555555,73.35069333333333,1.360430658418702e-05,4.631222322075364e-05,2.976664348826386e-05,0.00015292554548424002,3.715180211815241e-06
,,6071.515555555556,70.22569333333333,1.6368823112862588e-05,5.0009169106784655e-05,3.6458857317983724e-05,0.00019115367439342593,4.177958121033541e-06
,,6071.565555555556,67.09105,1.9165270449670336e-05,5.707974050284323e-05,4.283254335357332e-05,0.00021833763929174571,4.7846132853007455e-06
,,6071.615555555555,67.44791666666667,2.1961717786427218e-05,6.41503118987732e-05,4.9206229389046985e-05,0.00024552160418957105,5.391268449556915e-06
,,6071.665555555555,64.33256,2.4758165123234966e-05,7.122088329483177e-05,5.5579915424636584e-05,0.00027270556908789084,5.997923613824119e-06
,,6071.7155555555555,63.61882333333333,2.7554612460042714e-05,7.829145469089034e-05,6.195360146022618e-05,0.0002998895339862106,6.604578778091323e-06
,,6071.765555555556,61.36188333333333,3.0351059796850463e-05,8.536202608694891e-05,6.832728749581578e-05,0.0003270734988845304,7.211233942358527e-06
,,6071.815555555556,62.403549999999996,3.3147507133658214e-05,9.243259748300749e-05,7.470097353140538e-05,0.0003542574637828502,7.81788910662573e-06
,,6071.865555555555,58.410493333333335,3.552850535571123e-05,9.324671471092774e-05,7.991548727600425e-05,0.00037968580018491946,8.406348189877904e-06
,,6071.915555555555,56.847993333333335,3.7909503577807565e-05,9.40608319388628e-05,8.513000102069798e-05,0.0004051141365874513,8.994807273140783e-06
,,6071.9655555555555,53.375769999999996,4.02905017999039e-05,9.487494916679787e-05,9.03445147653917e-05,0.00043054247298998313,9.583266356403662e-06
,,6072.015555555556,52.32446000000001,4.267150002200023e-05,9.568906639473293e-05,9.555902851008543e-05,0.00045597080939251497,1.017172543966654e-05
,,6072.065555555556,52.17978333333334,4.505249824409656e-05,9.6503183622668e-05,0.00010077354225477916,0.0004813991457950468,1.0760184522929419e-05
,,6072.115555555555,54.774303333333336,4.743349646614958e-05,9.731730085058825e-05,0.00010598805599937803,0.0005068274821971161,1.1348643606181593e-05
,,6072.165555555555,53.54938333333333,4.9814494688245914e-05,9.813141807852331e-05,0.00011120256974407176,0.0005322558185996478,1.1937102689444472e-05
,,6072.2155555555555,53.04784333333333,5.2195492910342246e-05,9.894553530645838e-05,0.00011641708348876548,0.0005576841550021796,1.252556177270735e-05
,,6072.265555555556,55.989583333333336,5.457649113243858e-05,9.975965253439344e-05,0.00012163159723345921,0.0005831124914047114,1.3114020855970229e-05
,,6072.315555555556,56.510416666666664,5.695748935453491e-05,0.0001005737697623285,0.00012684611097815292,0.0006085408278072432,1.3702479939233108e-05
,,6072.365555555555,59.79938333333333,5.933848757658793e-05,0.00010138788699024876,0.00013206062472275178,0.0006339691642093124,1.4290939022485281e-05
,,6072.415555555555,57.880016666666656,6.171948579868426e-05,0.00010220200421818382,0.0001372751384674455,0.0006593975006118442,1.487939810574816e-05
,,6072.4655555555555,57.204860000000004,6.41004840207806e-05,0.00010301612144611889,0.00014248965221213923,0.000684825837014376,1.546785718901104e-05
,,6072.515555555556,55.989583333333336,6.648148224287693e-05,0.00010383023867405395,0.00014770416595683296,0.0007102541734169078,1.6056316272273917e-05
,,6072.565555555556,58.23688333333333,6.886248046497326e-05,0.00010464435590198901,0.00015291867970152669,0.0007356825098194396,1.6644775355536796e-05
,,6072.615555555555,60.50347,7.165892780173014e-05,0.00011171492729791897,0.00015929236573700034,0.0007628664747172649,1.7251430519792967e-05
,,6072.665555555555,60.65779333333333,7.445537513853789e-05,0.00011878549869397755,0.00016566605177258993,0.0007900504396155848,1.785808568406017e-05
,,6072.7155555555555,61.70910666666666,7.725182247534564e-05,0.00012585607009003613,0.0001720397378081795,0.0008172344045139046,1.8464740848327372e-05
,,6072.765555555556,59.278549999999996,7.963282069744197e-05,0.0001266701873179712,0.00017725425155287324,0.0008426627409164364,1.905319993159025e-05
,,6072.815555555556,61.188273333333335,8.242926803424972e-05,0.00013374075871402978,0.00018362793758846282,0.0008698467058147562,1.9659855095857453e-05
,,6072.865555555555,59.124230000000004,8.481026625630274e-05,0.00013455487594195005,0.00018884245133306168,0.0008952750422168255,2.024831417910963e-05
,,6072.915555555555,59.80903000000001,8.719126447839907e-05,0.00013536899316988511,0.0001940569650777554,0.0009207033786193573,2.0836773262372507e-05
,,6072.9655555555555,57.88966,8.95722627004954e-05,0.00013618311039782018,0.00019927147882244913,0.000946131715021889,2.1425232345635386e-05
,,6073.065555555556,58.063273333333335,9.433425914468807e-05,0.0001378113448536903,0.0002097005063118366,0.0009969883878269527,2.2602150512161143e-05
,,6073.115555555555,59.11458666666667,9.671525736674109e-05,0.00013862546208161057,0.00021491502005643545,0.001022416724229022,2.319060959541332e-05
,,6073.165555555555,58.05362666666667,9.909625558883742e-05,0.00013943957930954564,0.00022012953380112917,0.0010478450606315538,2.3779068678676197e-05
,,6073.2155555555555,58.42014,0.00010147725381093375,0.0001402536965374807,0.0002253440475458229,0.0010732733970340855,2.4367527761939076e-05
,,6073.265555555556,56.66474,0.00010385825203303009,0.00014106781376541577,0.00023055856129051663,0.0010987017334366173,2.4955986845201955e-05
,,6073.315555555556,55.45910666666666,0.00010623925025512642,0.00014188193099335083,0.00023577307503521035,0.001124130069839149,2.5544445928464833e-05
,,6073.365555555555,56.67437999999999,0.00010862024847717944,0.0001426960482212711,0.0002409875887798092,0.0011495584062412184,2.613290501171701e-05
,,6073.415555555555,55.45910666666666,0.00011100124669927577,0.00014351016544920616,0.00024620210252450294,0.0011749867426437501,2.6721364094979888e-05
,,6073.4655555555555,58.410493333333335,0.0001133822449213721,0.00014432428267714123,0.00025141661626919666,0.001200415079046282,2.7309823178242766e-05
,,6073.515555555556,57.716049999999996,0.00011576324314346844,0.0001451383999050763,0.0002566311300138904,0.0012258434154488137,2.7898282261505645e-05
,,6073.565555555556,57.716049999999996,0.00011814424136556477,0.00014595251713301135,0.0002618456437585841,0.0012512717518513455,2.8486741344768524e-05
,,6073.615555555555,57.89930666666667,0.00012052523958761779,0.00014676663436093162,0.000267060157503183,0.0012767000882534147,2.90752004280207e-05
