Timestamp,NP Chiller High Level Status WCC_N_1_1_Motor FLA Loading,NP Chiller Hard-wired Status WCC_NP_1_1_FM_01_FR,NP Chiller High Level Status WCC_N_1_1_Running Hours,condensing_delta_t,chilled_delta_t,small_delta_t,NP WCC Power WCC_1_1_Power,cluster,cluster_id
2023-12-28 18:12:00,37,64.09144,0.0,3.0,1.5999999999999996,2.400000000000002,0.0,1,94
2023-12-28 18:15:00,37,88.9757,0.0,4.0,5.500000000000001,0.6000000000000014,0.0,1,1051
2023-12-28 18:24:00,57,142.5058,0.0,4.300000000000001,5.1000000000000005,1.5,0.0,1,534
2023-12-28 18:27:00,58,143.3738,0.0,4.300000000000001,5.200000000000001,1.3000000000000007,0.0,1,534
2023-12-28 18:45:00,58,140.3356,0.0,4.300000000000001,5.300000000000001,1.1000000000000014,0.0,1,534
2023-12-28 19:18:00,54,135.272,1.0,3.900000000000002,5.300000000000001,1.0,0.0,1,607
2023-12-28 19:24:00,54,128.1829,1.0,3.6999999999999993,5.500000000000001,1.0999999999999979,0.0,1,1612
2023-12-28 19:42:00,49,115.3791,1.0,3.6000000000000014,5.3999999999999995,0.8000000000000007,0.0,1,1553
2023-12-28 19:45:00,50,116.3918,1.0,3.400000000000002,5.299999999999999,1.0,0.0,1,1541
2023-12-28 19:48:00,48,111.4005,2.0,3.3000000000000007,5.3999999999999995,0.7999999999999972,0.0,1,1541
2023-12-28 19:57:00,46,105.1794,2.0,3.3000000000000007,5.3999999999999995,0.6000000000000014,0.0,1,1059
2023-12-28 20:18:00,44,107.7112,2.0,3.099999999999998,5.199999999999999,0.9000000000000021,0.0,1,1059
2023-12-28 20:24:00,45,104.1667,2.0,3.099999999999998,5.199999999999999,0.8000000000000007,0.0,1,1059
2023-12-28 20:27:00,45,105.9751,2.0,3.099999999999998,5.1,0.8000000000000007,0.0,1,1059
2023-12-28 20:30:00,45,104.8177,2.0,3.0,5.199999999999999,0.9000000000000021,0.0,1,1059
2023-12-28 20:54:00,45,107.3495,3.0,3.1000000000000014,5.1,0.8999999999999986,0.0,1,1059
2023-12-28 20:57:00,45,105.1794,3.0,3.099999999999998,5.3999999999999995,0.7000000000000028,0.0,1,1059
2023-12-28 21:15:00,47,126.7361,3.0,3.1999999999999993,5.199999999999999,1.1999999999999993,0.0,1,1534
2023-12-28 21:54:00,50,121.5278,4.0,3.599999999999998,5.1,1.0,0.0,1,1555
2023-12-28 22:21:00,61,163.8455,4.0,5.0,4.8999999999999995,1.3000000000000007,0.0,1,298
2023-12-28 22:27:00,60,161.6754,4.0,5.100000000000001,4.8999999999999995,1.1999999999999993,0.0,1,298
2023-12-28 22:39:00,61,161.0243,4.0,5.099999999999998,4.9,1.3000000000000007,0.0,1,298
2023-12-28 22:48:00,61,161.386,4.0,5.099999999999998,4.9,1.1000000000000014,0.0,1,298
2023-12-29 00:39:00,60,168.1134,6.0,5.399999999999999,4.6000000000000005,1.1999999999999993,0.0,1,265
2023-12-29 00:42:00,60,169.7772,6.0,5.5,4.6000000000000005,1.1999999999999993,0.0,1,265
2023-12-29 00:48:00,60,170.0665,6.0,5.599999999999998,4.6000000000000005,1.1000000000000014,0.0,1,265
2023-12-29 00:51:00,61,175.4196,7.0,5.699999999999999,4.700000000000001,1.1999999999999993,0.0,1,266
2023-12-29 00:57:00,62,173.3217,7.0,5.699999999999999,4.6000000000000005,1.2000000000000028,0.0,1,266
2023-12-29 01:03:00,63,172.1644,7.0,5.800000000000001,4.699999999999999,1.1999999999999993,0.0,1,266
2023-12-29 01:09:00,62,171.7303,7.0,5.800000000000001,4.699999999999999,1.1999999999999993,0.0,1,266
2023-12-29 01:12:00,63,172.1644,7.0,5.900000000000002,4.699999999999999,1.1999999999999993,0.0,1,266
2023-12-29 01:24:00,62,171.1516,7.0,5.800000000000001,4.699999999999999,1.1999999999999993,0.0,1,266
2023-12-29 01:27:00,62,171.0069,7.0,5.900000000000002,4.699999999999999,1.0999999999999979,0.0,1,266
2023-12-29 01:30:00,63,171.0793,7.0,5.800000000000001,4.8,1.0999999999999979,0.0,1,266
2023-12-29 01:33:00,62,171.0069,7.0,5.800000000000001,4.8,1.0999999999999979,0.0,1,266
2023-12-29 01:36:00,62,171.0793,7.0,5.800000000000001,4.8,1.0999999999999979,0.0,1,266
2023-12-29 01:48:00,62,165.9433,7.0,5.699999999999999,4.8,1.1000000000000014,0.0,1,266
2023-12-29 01:51:00,61,165.2923,8.0,5.699999999999999,4.8,1.0,0.0,1,266
2023-12-29 01:54:00,60,159.8669,8.0,5.5,4.6000000000000005,1.1999999999999993,0.0,1,265
2023-12-29 02:00:00,53,146.1227,8.0,4.899999999999999,4.8,0.9000000000000021,0.0,1,1759
2023-12-29 02:03:00,54,151.1863,8.0,4.899999999999999,4.5,1.0,0.0,1,1759
2023-12-29 02:06:00,54,148.5822,8.0,5.0,4.699999999999999,0.8999999999999986,0.0,1,1759
2023-12-29 02:09:00,54,148.7992,8.0,5.100000000000001,4.6,0.8999999999999986,0.0,1,1759
2023-12-29 02:18:00,54,147.4971,8.0,4.900000000000002,4.5,0.8999999999999986,0.0,1,1759
2023-12-29 02:27:00,55,160.1563,8.0,5.0,4.4,1.1000000000000014,0.0,1,811
2023-12-29 02:30:00,57,162.5434,8.0,5.0,4.3999999999999995,1.1999999999999993,0.0,1,811
2023-12-29 02:36:00,56,162.9051,8.0,5.199999999999999,4.3999999999999995,1.0,0.0,1,811
2023-12-29 02:39:00,56,163.6285,8.0,5.199999999999999,4.4,1.0,0.0,1,811
2023-12-29 02:48:00,55,166.8113,8.0,5.100000000000001,4.3999999999999995,1.0,0.0,1,811
2023-12-29 02:51:00,56,167.2454,9.0,5.100000000000001,4.3,1.1999999999999993,0.0,1,811
2023-12-29 03:39:00,57,168.1134,9.0,5.5,4.500000000000001,1.5,0.0,1,265
2023-12-29 03:42:00,53,161.3137,9.0,5.5,4.000000000000001,0.40000000000000213,0.0,1,818
2023-12-29 03:54:00,53,159.2882,10.0,5.200000000000003,4.199999999999999,0.8999999999999986,0.0,1,811
2023-12-29 03:57:00,53,158.7095,10.0,5.200000000000003,4.199999999999999,1.0,0.0,1,811
2023-12-29 04:00:00,53,146.2673,10.0,5.100000000000001,4.1,0.8999999999999986,0.0,1,801
2023-12-29 04:06:00,53,156.901,10.0,5.100000000000001,4.199999999999999,0.8999999999999986,0.0,1,811
2023-12-29 04:09:00,54,158.8542,10.0,5.100000000000001,4.199999999999999,1.0,0.0,1,811
