Timestamp,NS Substation HX Primary Control Valve 1F2 V-13 Position,HX5 supply_dt,HX5 lmtd,HX5 primary chw dt,HX5 secondary chw dt,HX5 primary_dp,HX5_running_hour
2023-06-01 19:48:00,83.07292,-0.9259219999999999,,1.4178300000000004,0.34722200000000036,19.386599999999987,0.0
2023-06-01 19:51:00,75.28935,0.6076390000000007,1.021798335378183,3.616899,4.6006979999999995,29.224499999999978,0.05
2023-06-01 19:57:00,39.5544,0.6655090000000001,0.9946964390061076,3.8773150000000003,4.629627999999999,23.72679999999997,0.15000000000000002
2023-06-01 20:00:00,39.5544,0.5497680000000003,0.8945318904204694,3.8773150000000003,4.687499,24.884299999999996,0.2
2023-06-01 20:03:00,39.5544,0.46296300000000024,0.9139328930771223,3.587962,4.7164340000000005,24.884199999999964,0.25
2023-06-01 20:06:00,39.5544,0.46296300000000024,0.9337889134684646,3.443288,4.62963,24.01619999999997,0.3
2023-06-01 20:09:00,39.5544,0.43402799999999964,0.9488170917502741,3.3564809999999996,4.687505000000001,24.594899999999996,0.35
2023-06-01 20:12:00,39.5544,0.4050919999999998,0.895710229881867,3.3275449999999998,4.600695000000001,24.594899999999996,0.39999999999999997
2023-06-01 20:15:00,39.5544,0.43402799999999964,0.9103211948632555,3.1828709999999996,4.398149000000001,25.75229999999999,0.44999999999999996
2023-06-01 20:17:00,39.5544,0.3761570000000001,0.8892112575965734,3.0671290000000004,4.427084000000001,26.04159999999996,0.4833333333333333
2023-06-01 20:20:00,39.5544,0.4050919999999998,0.9519248358869699,3.211806,4.658565,26.04169999999999,0.5333333333333333
2023-06-02 20:01:00,42.6794,-0.3761600000000005,,1.5625,-0.983789999999999,17.071799999999996,0.5333333333333333
2023-06-02 20:04:00,100.0,1.9097220000000004,0.7240146229293335,4.629632000000001,2.8935200000000005,20.83329999999995,0.5333333333333333
2023-06-02 20:07:00,72.19329,0.28935200000000005,1.1386237879899044,2.3148149999999994,4.947919999999999,37.32639999999998,0.5333333333333333
