cluster_id,mean_FLA,mean_flowrate,mean_condensing_delta_t,mean_chilled_delta_t,predicted_initial_small_delta_t,predicted_initial_power,cluster_size
2,54.953947368421055,416.67656315789475,2.1026315789473684,2.75921052631579,2.271071167244249,1566.1104141094802,38
4,58.6796875,470.216203125,2.3359375,2.7921875,2.4460855197137423,1666.717681534571,32
6,55.495161290322585,414.2258483870968,2.0419354838709682,2.8177419354838706,2.2714793629379795,1580.6409804383018,31
8,58.854166666666664,481.36331666666666,1.9916666666666678,2.558333333333334,2.472702320602776,1699.8259992877843,12
9,58.547872340425535,474.4880914893617,2.337234042553192,2.5765957446808505,2.434326044260652,1656.7283467317802,47
10,61.570454545454545,485.2053515151515,2.4462121212121204,2.6939393939393943,2.5804095468936112,1787.1482964851532,66
11,58.13552631578948,447.0124605263157,2.2776315789473682,2.7684210526315787,2.4030237749652317,1651.551240080403,38
12,51.77096774193549,407.9819080645161,1.9685483870967744,2.606451612903226,2.134342487778675,1409.6958812557834,62
19,52.67674418604652,438.3270046511628,1.9802325581395346,2.448837209302326,2.1455744849270557,1472.3485697808767,43
20,50.65888888888889,397.7652488888889,1.839999999999999,2.472222222222222,2.06853930472637,1406.3616702906943,45
21,51.82033898305084,389.9209983050847,1.8847457627118642,2.691525423728813,2.1322843657649386,1445.908005821985,59
22,52.642187500000006,399.240678125,1.9367187499999996,2.6195312499999996,2.1430920693761424,1496.698426990598,64
25,56.30897435897436,458.0833076923077,2.1858974358974375,2.525641025641025,2.3227227053676303,1623.1429979798113,39
26,60.075,489.99205,1.9750000000000005,2.7625,2.5429834287779154,1751.2795918257236,4
27,58.37878787878788,470.9514878787879,2.325,2.6689393939393935,2.4358233127225017,1649.9170070721425,66
28,52.551923076923075,404.2173038461538,1.9788461538461537,2.68076923076923,2.122144849618453,1494.0319487609306,26
32,61.2,452.3004,2.0,2.9499999999999997,2.509908326991331,1781.9078020164386,1
33,70.0,512.5579,2.4499999999999993,3.15,2.827122962426666,2002.3375968773523,1
35,65.1,501.76685,2.203125,2.840625,2.718558915881005,1910.1886438219806,16
36,68.56379310344828,542.5721448275862,2.3603448275862053,2.893103448275862,2.858263728282552,2018.913617441512,29
41,68.2,540.0607588235295,2.344117647058822,2.7264705882352938,2.8581406259559743,2016.5980402360183,17
42,62.95,491.8981,2.049999999999999,2.8000000000000003,2.6409169277799016,1840.1638959875447,1
47,64.54333333333332,503.8184733333333,2.196666666666666,2.9699999999999998,2.6792731868477757,1886.3144686366295,15
50,74.65,603.0671,2.3499999999999996,2.55,2.834110466713701,2003.9237058455326,1
51,79.69999999999999,596.6725,2.5500000000000025,2.8000000000000003,2.845187766790381,2000.2943808146997,1
53,66.15,425.7379,2.200000000000001,3.45,2.6622991244278422,1923.9071513708175,1
54,84.3,548.4664499999999,2.6750000000000007,3.5000000000000004,2.8415908962964656,1999.8648086791497,2
55,84.3375,589.90885,2.6875000000000004,3.2500000000000004,2.8415908962964656,1999.8648086791497,4
57,74.69761904761906,565.0621333333335,2.4952380952380957,2.9619047619047616,2.8415908962964656,1999.8648086791497,21
58,75.38235294117646,579.5862294117647,2.5382352941176474,2.7470588235294113,2.837683884279805,2000.2943808146997,17
59,73.03815789473684,543.7092552631578,2.447368421052631,2.8828947368421054,2.8496075545330695,2003.4452915745392,38
60,75.72666666666666,549.1059066666668,2.5066666666666664,2.953333333333333,2.8415908962964656,1999.8648086791497,15
63,77.05,597.0413625,2.54375,2.89375,2.8451958280766436,2001.3066709037637,8
64,76.39166666666667,587.7158000000001,2.5208333333333335,2.754166666666667,2.844470991366147,2000.2943808146997,12
65,75.54,528.98728,2.4600000000000004,3.1300000000000003,2.842272596727672,1999.8648086791497,5
66,74.515625,553.5852562499999,2.4875000000000007,3.053125,2.8415908962964656,1999.8648086791497,16
69,64.9,637.0081,1.6500000000000004,1.7000000000000002,2.7460122260650843,1910.5925363462663,1
