cluster_id,mean_FLA,mean_flowrate,mean_condensing_delta_t,mean_chilled_delta_t,predicted_initial_small_delta_t,predicted_initial_power,cluster_size
2,62.276041666666664,489.96130208333335,1.9666666666666666,2.709374999999999,2.5431801809254053,875.1668510786632,48
4,64.55705882352942,516.4178258823529,1.977941176470589,2.6026470588235298,2.597811955134608,921.4263691581142,170
5,60.90744680851065,468.99872553191483,1.8393617021276603,2.723404255319149,2.494700536047088,848.5747933473557,47
6,59.900000000000006,484.5197,1.8000000000000007,2.6,2.467749921238429,853.3067214943047,1
8,62.34019607843137,478.8146156862744,1.8950980392156862,2.7,2.534850560796569,870.2325601207522,51
15,51.275000000000006,386.01705,1.674999999999999,2.5749999999999997,2.1527047852200356,693.9208129910569,2
16,52.273809523809526,389.8409952380952,1.6500000000000004,2.5928571428571425,2.1527047852200356,693.9208129910569,21
17,52.43928571428571,396.01900952380953,1.7297619047619048,2.575,2.1483063825480024,695.4651616987803,42
18,51.5,505.9992333333333,1.6166666666666671,1.9666666666666668,2.523477226140245,763.0727950327403,3
21,55.45,412.9485,1.6999999999999993,2.7500000000000004,2.2478069568607206,787.0157004458886,1
25,58.575,450.886125,1.787500000000001,2.7624999999999997,2.4173916915790294,823.7497060936855,4
27,60.65,432.1325,1.5500000000000007,2.7499999999999996,2.330177742341464,863.0569672927609,1
31,79.05000000000001,0.49189810000000006,2.3000000000000025,2.9499999999999997,3.0466891566052148,1148.8889727536746,49
32,68.6,366.2182,2.2499999999999982,3.4499999999999997,2.7267207351404035,962.4536189341794,1
33,64.80078947368422,441.05530105263153,1.7626315789473683,2.851842105263158,2.435607851023825,890.3168561360673,190
36,62.225,461.15451666666667,1.9000000000000004,2.858333333333333,2.4673977512475513,865.6006619021066,6
37,62.777966101694915,468.7685169491525,1.8885593220338979,2.8220338983050848,2.5264267174602746,874.262731149352,118
38,63.75,488.2089,2.0,2.9000000000000004,2.637046275168738,895.5336729245593,1
40,62.3875,461.277475,1.7750000000000004,2.7874999999999996,2.458029939678443,865.6197178298205,8
42,64.1984375,473.75940625,1.8651041666666668,2.813020833333333,2.5416315191141794,890.2349023792666,96
43,72.42129880170081,522.2558896405103,2.0905295709315808,2.893293390027058,2.9059451248299437,1032.0637883411246,2587
44,68.59463601532568,497.55905925925924,1.9875478927203065,2.8481481481481477,2.707509059065592,970.8746141781724,1566
